n#01460813	oviscapte ovopositor
n#13197800	genus_matteuccia genus_pteretis matteuccia pteretis
n#09880881	burgmestre
n#11151579	Bronislaw_Malinowski
n#11149630	Gustav_Mahler
v#02224055	desfer-se treure
v#02039156	reclinar-se recolzar-se
n#11993007	genus_machaeranthera machaeranthera
n#14810704	cromat
n#15096661	paper_de_cera
n#08090803	Ciència_Cristiana
n#02996840	cefalosporina
n#00830257	ús
n#15262921	avui
v#00516747	ensulfatar sulfatar
n#06858674	pedal
n#10594857	ensarronador entabanador
n#03759954	micròfon
n#01503061	au ocell
n#13691022	boliviano
n#13084184	planta_carnosa
n#06191687	soteriologia
n#03926148	equip_fotogràfic
n#11054173	Jimmy_Hoffa
v#01368597	adreçar aixecar alçar dreçar redreçar
n#10025487	don_joan Don_Juan
v#00875394	proposar suggerir
n#14370992	epistaxis hemorràgia_nasal
n#07496463	sofriment
n#11384159	Patrick_White
v#00403609	pressionar sobrecarregar
n#01551915	genus_procnias procnias
n#10209731	agent_d'assegurances
a#00120784	anònim desconegut incògnit
n#05833683	aflicció dolor pena pesar
n#03784053	monocarril monorail
a#00110701	digital
n#10004019	tècnic_dental
n#03077958	sistema_de_comunicació
n#02147034	eptesicus genus_eptesicus
n#00480993	basquetbol bàsquet
n#02374451	cavall
n#13938899	astigmatisme
n#02794779	caserna
n#11403828	Thomas_Young
n#07515560	quietud silenci
n#06783265	posició postura
n#13683451	unitat_monetària_zambiana
n#12801520	parnassia
n#07646403	colom
n#01912050	genus_hydra
n#02079170	fòcids
v#02089837	fullejar
n#06942252	albanès
n#13157780	fulla_cordiforme
n#01232842	visita
n#06858539	subtònica
n#03192543	dictàfon
n#08982587	Polònia
v#02304648	agafar arrabassar prendre
n#10947628	George_Eastman
n#03701391	metralladora
n#11409329	allotropia
n#06593296	periòdic publicació_periòdica
n#04232034	calavera
n#06833663	x
n#00104249	ímpetu impulsió impuls
v#00704249	afligir-se amoïnar-se apurar-se inquietar-se sortir_de_polleguera
n#07989741	Germans_Marx
n#13905572	aclofament enfonsament
v#02342580	complementar fer_arribar
n#09322454	júpiter
n#02061073	genus_hydrobates hydrobates
n#02422561	aepyceros genus_aepyceros
n#03308481	llapis_de_les_celles
n#06048851	periodòncia
v#01315613	buscar cercar escorcollar
n#01169317	resistència
n#02371344	unguiculat
v#01390486	prémer
n#12119947	eragrostis genus_eragrostis
n#08643729	niu
n#10343554	místic
n#02046321	genus_pinguinus pinguinus
n#04688842	fascinació seducció temptació
n#02567960	genus_roccus roccus
n#06073748	protozoologia
a#00204249	modest
