n#03277459	balanza_electrónica
n#11281555	Sara
n#01379954	género_Lactobacillus
n#06547059	orden orden_policial
r#00154885	cómodamente
v#02539334	dominar
v#00625119	leer
n#06624161	carta
n#00654885	atención ayuda cuidado cuidados
a#01692786	interior
n#01555586	Muscicapidae familia_Muscicapidae
n#14250232	feocromocitoma
n#01497278	Pristis género_Pristis
a#02754543	lactogenico
n#08092855	Iglesia_de_Hermanos_Unidos_en_Cristo
n#08115602	Facultad_de_Antropología
n#13360254	fondo_bélico fondo_de_guerra
n#03266749	edredón
n#13338439	bono_basura
n#13915417	romboedro
n#14387477	encopresis_infantil
n#13800539	coordinación
n#01816017	Pterocles_indicus ganga_hindú
a#00252310	tímido
n#00450070	carrera_de_caballos
n#13609390	unidad_de_viscosidad
a#00700884	cierto
n#08643729	nido
n#11280905	Santa_Ana Santa_Anna
n#01128984	endoculturación
n#15265518	comienzo inicio principio umbral
r#00246296	simplemente
n#06492569	inventario_de_recambios
n#04869811	probidad
a#02501693	rico
n#10451263	político
n#09942871	conserje portero
v#00730301	delimitar
n#01193176	sentencia_general
a#01192786	torpe
a#01513050	extremo profundo severo
n#00313502	viaje_espacial
a#01929600	no_reactivo
r#00104003	el_extranjero
n#00188007	cuadro_abierto fallo
n#00104539	lanzamiento
n#01872772	oso_hormiguero oso_hormiguero_espinoso tachyglossidae
n#05362593	vena_cerebral_media
v#01150164	abordar entrar
n#00329468	snowboarding
a#01565139	inmóvil
n#06856487	pluma_blanca
n#07845495	leche_de_cabra
a#01639891	viejo
n#06632671	buenas buenos_días
n#10654827	madrastra
n#03861048	dispositivo_de_salida
n#02072355	Monodon género_Monodon
v#00153263	acrecentar incrementar
v#02217864	financiar
n#01922303	gusano
v#01132797	bombardear_en_planeo
n#04732543	marca marca_de_estilo sello signo_característico
n#10934410	Charles_Dickens
n#11398344	Frances_Wright
n#01106808	negociación transacción trato
n#13859307	diferencia
v#00039824	permanentar
a#00356110	ionizado
n#06153698	tanatología
n#07445480	ascensión ascenso subida
v#01277305	rebajar
