a#0	0	a	02186132
a#1	1	a	02186338
a#10	10	a	02187296
a#100	100	a	02196107
a#1000	1000	a	02198752
a#11	11	a	02187379
a#12	12	a	02187465
a#13	13	a	02187606
a#14	14	a	02187699
a#15	15	a	02187793
a#16	16	a	02187903
a#17	17	a	02187995
a#18	18	a	02188108
a#19	19	a	02188205
a#2	2	a	02186470
a#20	20	a	02188317
a#21	21	a	02188431
a#22	22	a	02188525
a#23	23	a	02188620
a#24	24	a	02188720
a#25	25	a	02188817
a#26	26	a	02188913
a#27	27	a	02189008
a#28	28	a	02189108
a#29	29	a	02189209
a#3	3	a	02186580
a#30	30	a	02189306
a#4	4	a	02186665
a#40	40	a	02190278
a#5	5	a	02186750
a#50	50	a	02191232
a#500	500	a	02198631
a#6	6	a	02186833
a#60	60	a	02192184
a#7	7	a	02186970
a#70	70	a	02193141
a#8	8	a	02187073
a#80	80	a	02194151
a#9	9	a	02187161
a#90	90	a	02195145
a#AM	AM	a	00130518
a#C	C	a	02196107
a#D	D	a	02198631
a#I	I	a	02186338
a#II	II	a	02186470
a#III	III	a	02186580
a#IV	IV	a	02186665
a#IX	IX	a	02187161
a#L	L	a	02191232
a#LP	LP	a	00981455
a#LX	LX	a	02192184
a#LXX	LXX	a	02193141
a#LXXX	LXXX	a	02194151
a#M	M	a	02198752
a#PM	PM	a	00130701
a#V	V	a	02186750
a#VI	VI	a	02186833
a#VII	VII	a	02186970
a#VIII	VIII	a	02187073
a#X	X	a	02187296
a#XC	XC	a	02195145
a#XI	XI	a	02187379
a#XII	XII	a	02187465
a#XIII	XIII	a	02187606
a#XIV	XIV	a	02187699
a#XIX	XIX	a	02188205
a#XL	XL	a	02190278
a#XV	XV	a	02187793
a#XVI	XVI	a	02187903
a#XVII	XVII	a	02187995
a#XVIII	XVIII	a	02188108
a#XX	XX	a	02188317
a#XXI	XXI	a	02188431
a#XXII	XXII	a	02188525
a#XXIII	XXIII	a	02188620
a#XXIV	XXIV	a	02188720
a#XXIX	XXIX	a	02189209
a#XXV	XXV	a	02188817
a#XXVI	XXVI	a	02188913
a#XXVII	XXVII	a	02189008
a#XXVIII	XXVIII	a	02189108
a#XXX	XXX	a	02189306
a#abandonat	abandonat	a	01243102 01313004
a#abarrotat	abarrotat	a	00559690 01084297
a#abatible	abatible	a	00466229
a#abatut	abatut	a	00703109 00085870 01230153 01743217
a#abaxial	abaxial	a	00002312
a#abdominal	abdominal	a	02934594
a#abductor	abductor	a	00002956
a#aberrant	aberrant	a	01596122
a#abigarrat	abigarrat	a	00398978
a#abillat	abillat	a	00454849
a#abismal	abismal	a	00691141
a#abissal	abissal	a	00691141
a#abjecte	abjecte	a	00904745
a#abnegat	abnegat	a	00101609
a#abominable	abominable	a	00580039 01460679
a#abonable	abonable	a	00136884
a#aborigen	aborigen	a	01036383 01037148
a#abrasador	abrasador	a	01802165
a#abrasat	abrasat	a	02551946
a#abreujat	abreujat	a	00004413 01436791
a#abreviat	abreviat	a	00004413 01436791 01437472
a#absent	absent	a	00165171 01847672
a#absolut	absolut	a	00523479 00005205 02180486 00522885 01914407 00719328
a#absorbefaent	absorbefaent	a	00006777
a#absorbent	absorbent	a	00006336
a#absorbible	absorbible	a	00008734
a#absort	absort	a	00163948
a#abstinent	abstinent	a	00009346
a#abstracte	abstracte	a	00011757
a#absurd	absurd	a	02570643 01266397
a#abundant	abundant	a	00015247 00015854 00014858 00013887 00014490 02558528
a#abundós	abundós	a	00015247 00013887
a#abusiu	abusiu	a	01160584
a#acabalat	acabalat	a	02022167
a#acabat	acabat	a	00735882
a#acadèmic	acadèmic	a	02599939
a#acanalat	acanalat	a	02244065
a#acaparador	acaparador	a	00029343
a#acatalèctic	acatalèctic	a	00317886
a#acaule	acaule	a	00322321
a#acaulescent	acaulescent	a	00322321
a#acceptable	acceptable	a	00017782 02336338
