a#A_Sangue_Frio	A_Sangue_Frio	a	01263971
a#A_sangue_frio	A_sangue_frio	a	01263971
a#Acaule	Acaule	a	00322321
a#Acytota	Acytota	a	00328128
a#Ad-hoc	Ad-hoc	a	01103529
a#Agente_bacteriostático	Agente_bacteriostático	a	02657619
a#Alveolata	Alveolata	a	00327690
a#Anti-colinérgico	Anti-colinérgico	a	00061088
a#Azul-Petróleo	Azul-Petróleo	a	00371163
a#Bolt	Bolt	a	01353982
a#Bosniano	Bosniano	a	02964629
a#Brasileiro	Brasileiro	a	02966829
a#Churrigueresco	Churrigueresco	a	01794995
a#Cidade-fantasma	Cidade-fantasma	a	01313835
a#Cidade_fantasma	Cidade_fantasma	a	01313835
a#Cidades_fantasmas	Cidades_fantasmas	a	01313835
a#Co-dominância	Co-dominância	a	00791227
a#Codominância	Codominância	a	00791227
a#Competitivo	Competitivo	a	00512487
a#Deltoide	Deltoide	a	02167894
a#Detestável_em_alto_grau	Detestável_em_alto_grau	a	01460679
a#Dioicia	Dioicia	a	01543633
a#Estranho	Estranho	a	01350494
a#Família_de_Tyrogue	Família_de_Tyrogue	a	02415390
a#Fenômenos_paranormais	Fenômenos_paranormais	a	01599532
a#Furador	Furador	a	00662139
a#Herbario	Herbario	a	02893195
a#Herbário	Herbário	a	02893195
a#Hidrofóbica	Hidrofóbica	a	00491749
a#Hollow_Man	Hollow_Man	a	02517265
a#Hollow_man	Hollow_man	a	02517265
a#Imagem_3D	Imagem_3D	a	00660809
a#Imagem_3d	Imagem_3d	a	00660809
a#In_Vitro	In_Vitro	a	01359277
a#Inconsequente	Inconsequente	a	00250739
a#Limitado	Limitado	a	01415021
a#Limpo	Limpo	a	02422685
a#Paleolítico	Paleolítico	a	03090263
a#Pregadura	Pregadura	a	00631798
a#Preocupado	Preocupado	a	00543603
a#Professor_Emérito	Professor_Emérito	a	01645490
a#Professor_emérito	Professor_emérito	a	01645490
a#Quase_chorando	Quase_chorando	a	02548820
a#Reconstructor	Reconstructor	a	00585856
a#Romano	Romano	a	02921569
a#Rutilismo	Rutilismo	a	00395626
a#Sagital	Sagital	a	00779240
a#Saltear	Saltear	a	00618493
a#Sfumato	Sfumato	a	01956855
a#Soviete	Soviete	a	02959406
a#Sumô	Sumô	a	02339120
a#Tricky	Tricky	a	00148078
a#Veneráveis	Veneráveis	a	01646794
a#Vernáculo	Vernáculo	a	01046226
a#a_bombordo	a_bombordo	a	02033742
a#a_grande_altura	a_grande_altura	a	01212346
a#a_julgamento	a_julgamento	a	01844585
a#a_ser_lançado	a_ser_lançado	a	00184229
a#a_ser_publicado	a_ser_publicado	a	00184229
a#a_termo	a_termo	a	01495381
a#abacial	abacial	a	02598768
a#abafado	abafado	a	02509484
a#abandonado	abandonado	a	01317231 01313004
a#abbacial	abbacial	a	02598768
a#abdicável	abdicável	a	02528048
a#abdominal	abdominal	a	02934594 00986457
a#abençoado	abençoado	a	01451768
a#aberrante	aberrante	a	01596122
a#aberto	aberto	a	00036254 01652902 01654377 02003357 01652380 02087178 01886620 01704761 01653135 01861910
a#abismal	abismal	a	01499155
a#abissal	abissal	a	01499155
a#abjeto	abjeto	a	01049941
a#ablativo	ablativo	a	03041636 00050260
a#abominoso	abominoso	a	01625063
a#abominável	abominável	a	01460421 00193480 01126291 01131454
a#abordável	abordável	a	00533221
a#aborrecedor	aborrecedor	a	00089550
a#aborrecida	aborrecida	a	01343200
a#aborrecido	aborrecido	a	01345307
a#aborrecivel	aborrecivel	a	01625063
a#abortado	abortado	a	01082714
a#abortivo	abortivo	a	01082714
a#aborígena	aborígena	a	01033996
a#aborígene	aborígene	a	01037148 02599509
a#aborígine	aborígine	a	02599509
a#abrangente	abrangente	a	00525453
a#abrasivo	abrasivo	a	02239289
a#abreviado	abreviado	a	01436432 01436791 01442597
a#abrupto	abrupto	a	01143279 01145151 01143585
a#absolutista	absolutista	a	03139045
a#absoluto	absoluto	a	00005205 00719328
a#absorto	absorto	a	00163948
a#absorvente	absorvente	a	01344171 00006336
a#absorvido	absorvido	a	00163948
a#abstracto	abstracto	a	00899226
a#abstrato	abstrato	a	00899226
a#abstraído	abstraído	a	00165171
a#abstruso	abstruso	a	00899226
a#absurda	absurda	a	01431112
a#absurdo	absurdo	a	02570643
a#abudante	abudante	a	00015854
a#abundante	abundante	a	00015247 00015854 00014858 00013887 00014490
a#abusivo	abusivo	a	01160584
a#acabado	acabado	a	01005063
a#académico	académico	a	02599939
a#acadêmica	acadêmica	a	02699524
a#acadêmico	acadêmico	a	02599939
a#acalorado	acalorado	a	00445308
a#acanhado	acanhado	a	00531628
a#acastanhado	acastanhado	a	00372111
a#aceitado	aceitado	a	00027599
a#aceito	aceito	a	00027599
a#aceitável	aceitável	a	01020709 01124768 01761871 02297966
a#acelerado	acelerado	a	00977105
a#acelular	acelular	a	00328128
a#acentuado	acentuado	a	03139235 02290454
a#acerbo	acerbo	a	01802165
a#acertado	acertado	a	01284212
a#aceso	aceso	a	00271580 00475125
a#acessível	acessível	a	00533221 00134251 00134060
a#acetabular	acetabular	a	00535844
a#acetílico	acetílico	a	02600792
a#acidentado	acidentado	a	02240006
a#acidental	acidental	a	01349435 01798162
a#acidente-accident-prone	acidente-accident-prone	a	01293049
a#acidótico	acidótico	a	02601674
a#acima_mencionado	acima_mencionado	a	00126116
a#acinzentado	acinzentado	a	00389310
a#acolhedor	acolhedor	a	00477284
a#acompanhado	acompanhado	a	02252053 02250899
a#aconselhador	aconselhador	a	01304802
a#aconselhável	aconselhável	a	00067038
a#acoplado	acoplado	a	01516207
a#acordado	acordado	a	00186616
a#acorrentado	acorrentado	a	00253196
a#acostumado	acostumado	a	00965894
a#acre	acre	a	02398608 01802165
a#acreditável	acreditável	a	00644839
a#acrimonioso	acrimonioso	a	01374004 00116744
a#acrobático	acrobático	a	00032497
a#acromegálico	acromegálico	a	02140834
a#acromático	acromático	a	00386392
a#activista	activista	a	00039122
a#activo	activo	a	01515280
a#actual	actual	a	00667822 00972642 00668208
a#acumulativo	acumulativo	a	00029769
a#acurado	acurado	a	00021766
a#acusador	acusador	a	00924257
a#acusante	acusante	a	00924257
a#acusativo	acusativo	a	02861997
a#acusatório	acusatório	a	00924257
a#acético	acético	a	03039907
a#acíclico	acíclico	a	00677313 01970604 00677877
a#acídulo	acídulo	a	02368787
a#acústico	acústico	a	02868489
a#ad_hoc	ad_hoc	a	01103529
a#adaptado	adaptado	a	01540637
a#adaptativo	adaptativo	a	00046471
a#adaptável	adaptável	a	01027263 00046109
a#adenóide	adenóide	a	02603540
a#adequado	adequado	a	00051045 01879667 01020885 01878870 01370141 00051373 00852197 01020393
a#aderente	aderente	a	00053032
a#adesivo	adesivo	a	00052672
a#adiabático	adiabático	a	00744141
a#adicional	adicional	a	01854129 00049879
a#adipose	adipose	a	00992133
a#aditivo	aditivo	a	00048858 00048129
a#adjacente	adjacente	a	00447472 00566342
a#adjectivo	adjectivo	a	02936020
a#adjetival	adjetival	a	02936020
a#adjetivo	adjetivo	a	02936020
a#adjunto	adjunto	a	00793250
a#administrativo	administrativo	a	02904075
a#administrável	administrável	a	01474806
a#admirável	admirável	a	00904290 01807605 01676517 01282510
a#admissível	admissível	a	01761871 01762257
a#adoentado	adoentado	a	00651451
a#adoptivo	adoptivo	a	01406418 01406263 01034296
a#adormecido	adormecido	a	00187736
a#adornado	adornado	a	00056002
a#adorável	adorável	a	01459755
a#adotado	adotado	a	01034296
a#adotivo	adotivo	a	01406418 01406263 01034296
a#adquirido	adquirido	a	01315670
a#adquirível	adquirível	a	00185607 00184363
a#adrenocorticotrópico	adrenocorticotrópico	a	02309668
