a#Balzaquiano	Balzaquiano	a	03028863
a#Fahrenheit	Fahrenheit	a	02725548
a#Mariano	Mariano	a	03034903
a#Pavloviano	Pavloviano	a	03036316
a#Shakesperiano	Shakesperiano	a	03027335
a#a_gusto	a_gusto	a	01805157
a#a_lápiz	a_lápiz	a	03151711
a#a_para_pelada	a_para_pelada	a	02156579
a#a_pie_pelado	a_pie_pelado	a	02156579
a#abayado	abayado	a	02656699
a#abdominal	abdominal	a	02934594
a#abdominovesical	abdominovesical	a	02598981
a#abierta	abierta	a	01658814
a#abierto	abierto	a	01351837 02090567 02003604 01652902 02003357 02087178 02547131 02096382 01208146 01310273 01861910 02258249 00287498 01704761 01986134 01886620 01652380 02523664 02130821 00496938 01654377 02096604 00036254 02090341
a#abiogenético	abiogenético	a	02599837
a#ablativo	ablativo	a	03041636
a#abolicionista	abolicionista	a	03138752
a#abordable	abordable	a	00134060
a#abrumador	abrumador	a	01129371
a#abrupto	abrupto	a	01143585
a#absoluto	absoluto	a	01914407 00719328 00522885 02180486 00005205 00523479
a#abstracto	abstracto	a	00862526 00011757 01980557
a#absurdo	absurdo	a	02570643 01266397 01945139 01431112
a#abultado	abultado	a	00537339
a#abundante	abundante	a	00015247 01080900 02558528 00014490 00014358 00013887 00015854
a#abundoso	abundoso	a	00015247
a#aburrido	aburrido	a	01323334
a#abusado	abusado	a	00017352
a#abásico	abásico	a	02598608
a#académico	académico	a	02599939
a#accesible	accesible	a	00134060
a#aceptable	aceptable	a	01020709 00017782 02080937 02336338 01124768 02297966
a#acertado	acertado	a	01000442 00852197 01020393 01371258 01370141 01020885 00631391 00051373 00135455 00633410 00051045 01944088
a#acetilénico	acetilénico	a	02600691
a#acetílico	acetílico	a	02600792
a#acetónico	acetónico	a	02600593
a#acimutal	acimutal	a	02655838
a#acneiforme	acneiforme	a	02602190
a#acomodaticio	acomodaticio	a	00020787
a#acondroplasia	acondroplasia	a	02899271
a#acondrítico	acondrítico	a	02601326
a#acorazonado	acorazonado	a	02167628
a#acreditado	acreditado	a	00342755
a#actinomicético	actinomicético	a	02602784
a#actinomicótico	actinomicótico	a	02602951
a#actinométrico	actinométrico	a	02602644
a#activo	activo	a	00037457 00042457 00034924 00035465 00034710 01660444 00040325 01515280 00038750 00927373 00031974
a#actual	actual	a	00666610 01731351 01732131 00666058
a#actuarial	actuarial	a	02939542
a#acuoso	acuoso	a	02636461 02473371 02551259 00756459 02262365
a#acuífero	acuífero	a	02636708
a#adecuada	adecuada	a	00051045
a#adecuado	adecuado	a	00852197 01020393 01371258 01370141 01020885 00051373 00135455 00051045
a#adelantado	adelantado	a	01840121 00198383
a#adenoideo	adenoideo	a	02603540
a#adeudado	adeudado	a	00136354
a#adhesivo	adhesivo	a	00052672
a#adicional	adicional	a	01349760 03139363
a#adicto	adicto	a	00047029
a#adjunto	adjunto	a	01656628
a#administrativo	administrativo	a	02904223 02556229 02990154 02904075
a#admirable	admirable	a	00904290 01282510 01021120 01807605
a#adolescente	adolescente	a	01492596 01647983 02602261 01490061
a#adorable	adorable	a	01459422
a#adorado	adorado	a	01461822
a#adosado	adosado	a	00160425
a#adrenal	adrenal	a	02604473
a#adscrito	adscrito	a	01973311
a#advectivo	advectivo	a	02606182
a#adáctilo	adáctilo	a	02603235
a#aerodinámica	aerodinámica	a	02980122
a#aerofilatélico	aerofilatélico	a	03007038
a#aeromédico	aeromédico	a	02607187
a#afanítico	afanítico	a	02632263
a#afectado	afectado	a	00073465
a#afectivo	afectivo	a	00854255
a#afectuoso	afectuoso	a	02530861
a#afiliado	afiliado	a	01973311
a#afligido	afligido	a	01364008
a#africano	africano	a	02941790
a#afrodisiaco	afrodisiaco	a	02137538
a#afín	afín	a	01973969 00566835 02071782 01972070
a#agitado	agitado	a	00087354
a#agnóstico	agnóstico	a	02849594
a#agotado	agotado	a	00185921
a#agradable	agradable	a	00363938 01586342 01134232 00133669 01800349 01807219 01501821 00560586 01801029 00089051 00407151 01586866 02395115
a#agradado	agradado	a	01805157
a#agranulocítico	agranulocítico	a	02608380
a#agrario	agrario	a	02050841
a#agregado	agregado	a	00160425
a#agresivo	agresivo	a	01244846 00104318 00082241 01356143
a#agrio	agrio	a	02369869 02369460 01137378 02369335 01054922
a#agrológico	agrológico	a	02608753
a#agrícola	agrícola	a	02790222 02050841
a#agudo	agudo	a	01214430 01264913 01811820 00879918 01745027 01213197 00044760 01234952 01810189 01744515 00800826 00803275
a#agusanado	agusanado	a	02737371
a#ahorrador	ahorrador	a	02421158
a#ahorrativo	ahorrativo	a	02421158
a#aislacionismo	aislacionismo	a	03022917
a#aislacionista	aislacionista	a	03022917
a#aislado	aislado	a	00594267 01327205 01859055 00567860 02250691 02111095 01327574 02110447 02251576
a#ajeno	ajeno	a	01350494 01349927 00192026 02117464
a#al_corriente	al_corriente	a	03152480
a#alabastrino	alabastrino	a	02609369
a#alar	alar	a	03133666
a#alarmante	alarmante	a	00656132 00650577 00193015
a#albigense	albigense	a	02609673
a#albítico	albítico	a	02610260
a#alcanforado	alcanforado	a	00306131
a#alcohólico	alcohólico	a	00047243 01158596
a#aleatorio	aleatorio	a	01924316
a#alegre	alegre	a	00363938 00363621 00363291 01361414 01366718 00805676 00362467 01265308 00705336 01367651 01367431 00364145 02459465
a#alejado	alejado	a	00443274 00450606 00443075 01434717 00020103
a#alejandrino	alejandrino	a	03028338
a#alelomorfo	alelomorfo	a	02612400
a#alemán	alemán	a	02957469
a#alentador	alentador	a	00866471
a#aleurónico	aleurónico	a	02611013
a#alexia	alexia	a	03040264
a#alfanumérico	alfanumérico	a	02614579
a#algebraico	algebraico	a	02854350
a#algo	algo	a	02267308
a#algolágnico	algolágnico	a	02611187
a#algométrico	algométrico	a	02611290
a#algáceo	algáceo	a	02611112
a#aliado	aliado	a	02612787 02612939
a#alistado	alistado	a	01418288
a#alocado	alocado	a	01666275
a#alográfico	alográfico	a	02613206
a#alpino	alpino	a	03025590 01219279 01219373 03025746
a#alquílico	alquílico	a	02612184
a#alquímico	alquímico	a	02610761
a#alternativo	alternativo	a	00608668 01853934 02657100
a#altivo	altivo	a	00339288 01540102 01889819
a#alto	alto	a	00980144 01205131 01211962 01204557 01210854 01213786 02385102 02339120 00182718 01513376 01205473 01458736
a#altricial	altricial	a	00101331
a#aluminoso	aluminoso	a	01528039
a#aluvial	aluvial	a	03006126
a#alélico	alélico	a	02612400
a#alérgico	alérgico	a	02360944
a#aléxico	aléxico	a	03040264
a#amable	amable	a	01076024 01134232 01464700 00020787 00639230 01459422 01041209 01075178 00177834 01372049
a#amado	amado	a	01461822
a#amamantado	amamantado	a	00267145
a#amargo	amargo	a	02435901 01364993 02396098 01802165
